Local Names,Translation,Location,Real Names
Abombo,_ ,Kisanagani,Dupont
Adami,Madam ,Opala ,generic
Adamisu,"Knowing eyes, control, anger",Basoko,_
Aduyi,Lion,_,_
Aginu,Kneeling,Kisangani,Genot
Agomiriya,Abuser of women; Unfaithful husband,Moto,generic
Alali na se, He who is lying down,Equateur,_
Alinga Mama,He who loves mother; ,Aruwimi ,generic
Alinga Likaya,Drunken smoker,_,_
Alinga Tumba,Fight Lover ,_,_
Alube,King Albert,Kasai,King Albert
Angbalima,Terror,Basoko,_
Angbotalikume,_,Baskoko,_
Angwadima,Terror,Eastern Congo,_
Asali Monkanda,He has written a letter ,Kisangani,D'Hondt
Atama-Atama,Enslavers,Opala,any whites
Atamu,Madam,Opala,generic
Ataso,Attention,everywhere,generic
Atila Okondo,He who does not let any land lie fallow,Opala,any crop supervisor
Awaya-Awaya,Lack of direction ,Kasai ,generic
Bajunu,Kneeling, Kisangani ,generic
Bakola,Generation,Inongo ,Cloetens et al.
Bala-Bala,Main road; Officials on the move,everywhere any, itinerate agent
Balikpe,Leaves eater ,Uele ,G. Schweinfurth
Balikuhe,"He was eating raw, bland food ",Uele ,G. Miani
Bambenga,Red pepper ,Equateur,_
Bana Muanama,Water spirit ,Kisangani ,Wouters
Bandungu,Pepper ,Lac Leopold II ,P.-J. Van de Moere
Bapenda Kula,They who love to eat ,Ituri ,generic
Basikoti,Much whipping; Hippopotamus-hide whip,everywhere,generic
Batu Pamba,Straw men,Uele ,generic
Belei,Lover of women ,Bumba ,generic
Bikengakenga,_,Katanga,_
Bola-Bola,"Beat, bear; ruthless beater",Equateur,_
Bolemba,Stupefying vine for killing fish,"Équateur, Opala",_
Bombeki,_,Equateur,H. Bombeeck
Bosolo,_,Equateur,_
Bula Matari,Break rocks,_,any agent
Bula Matende,Dynamiter; Break rocks,"Vivi, Basoko",Van Kerkhoven
Bumba,Who comes from bumba,Kisangani,Luthy
Bwana Kapia,Second-born of twins ,Katanga ,Delvaux
Bwana Kaseya,_,Kasongo ,Verditch
Bwana Kenengene,_,Katanga,_
Bwana Kidogo, Mister small; Little boss ,Eastern Congo,_
Bwana Kioseni,_,_,_
Bwana Kitoko,Mister handsome ,everywhere ,King Baudouin
Bwana Leke,Mister Leke,Kasai,Legat
Bwana Lubuku,Master builder; ,Kasongo,Van Malderen
Bwana Lutshina,_,Katanga,_
Bwana Maibwe,Mister stone, Katanga ,_
Bwana Mukubwa,Big boss; Superior; Mister tall ,Eastern Congo,_
Bwana Mzuri,Mister handsome ,Katanga,_
Bwana Ndeke ,Mister bird ,Kilo ,Henry
Bwana Ndeke,Mister bird ,Kisangani," L. Oswald, L. Adhémar, C. de Leuze"
Bwana Nioka ,Mister snake, Katanga, Gilson
Bwana Nzige,Mister locust ,_,any violent agent
Bwana Pangabisoto ,_,Katanga,_
Bwana Tomasi,Mister Thomas ,Katanga,_
Bwana Tumbaku ,_,Kisangani,T.Nicolas
Chakundia ,He who can eat me ,Katanga,_
Chicotte, Whipping ,Baringa ,G. Dineur
Cibalabala, Wild cat,Kasai ,"F. Van Nimmen, J. Van Uden"
Cibutama, To hide small scar ,Kasai, R. Bearts
Cimpanga ,Bull,Kasai ,A. Demunster
Ciswa-bantu, He who loves people,Kasai ,A. Lippens
Citoko,Handsome ,Kasai,_
Djeke,_,Katanga,_
Djoko deli,_+,Kasai,_
Ebeniq,_, Katanga,_
Ebuka-Buka,"Breaker of things, into pieces"," Ekonda, Équateur",_
Efanja ,He who disperses people ,"Ekonda, Équateur",_
Ekanda ,_,Bolobo,Grenfell
